,Precision,Recall,F1-score,Support
Signature,1.0,1.0,1.0,236.0
Stamp,1.0,0.9814814814814815,0.9906542056074767,216.0
Logo,0.9819004524886877,1.0,0.9908675799086757,217.0
Text,1.0,1.0,1.0,195.0
accuracy,,,0.9953703703703703,864.0
macro avg,0.995475113122172,0.9953703703703703,0.9953804463790381,864.0
weighted avg,0.9954541645718117,0.9953703703703703,0.9953698764483768,864.0
