,Precision,Recall,F1-score,Support
Signature,0.9957627118644068,0.9957627118644068,0.9957627118644068,236.0
Stamp,0.9848484848484849,0.9027777777777778,0.9420289855072465,216.0
Logo,0.9117647058823529,1.0,0.9538461538461539,217.0
Text,1.0,0.9846153846153847,0.9922480620155039,195.0
accuracy,,,0.9710648148148148,864.0
macro avg,0.9730939756488112,0.9707889685643923,0.9709714783083278,864.0
weighted avg,0.9728937660922955,0.9710648148148148,0.9710083892907453,864.0
